WLDN,$209.63M
LGIH,$1.55B
MH^D,n/a
NTG,$993.68M
MACK,$147.2M
MFM,$283.37M
FTW,$1.92M
TDE,n/a
DIT,$62.14M
LMFAW,n/a
APTI,$1.05B
NAVI,$3.82B
NAV^D,n/a
SSYS,$1.19B
BANC,$991.96M
TSLF,$125.46M
ACIA,$1.43B
XELA,$1B
MRVL,$11.58B
CLX,$18.39B
USNA,$1.83B
DXCM,$5.05B
RPRX,$26.36M
DX^B,n/a
MLSS,$33.65M
ARR^A,n/a
LIVE,$30.44M
USG,$5.68B
BCACR,n/a
AAXJ,$5.48B
CX,$12.31B
KOSS,$15.21M
AEK,n/a
EVI,$418.73M
VZA,n/a
RARE,$2.42B
MARA,$47.12M
PBI^B,n/a
HXL,$6.07B
SXT,$3.17B
WYY,$49.62M
CDNS,$12.93B
MXC,$8.62M
STC,$1.09B
MOV,$742.11M
ABG,$1.57B
CFFI,$196.71M
MAIN,$2.27B
SYBT,$834.28M
FSM,$772.64M
TNXP,$32.1M
HIE,$179.04M
RWT,$1.15B
VMO,$813.69M
GRFS,$17.05B
JACK,$2.79B
NVRO,$2.41B
GOLF,$1.63B
AHL,$2.19B
EIM,$831.65M
QTNA,$497.32M
OTEL,$50.7M
CHD,$12.27B
ITRI,$2.9B
ATEST.C,n/a
NNN,$6.2B
MTRN,$1.01B
SNDE,$103.72M
CVE,$12.78B
PRTS,$88.82M
MRCC,$285.99M
MET,$57.63B
PTI,$147.65M
COTY,$15.15B
DDS,$1.97B
WHLM,$36.14M
GTN,$1.6B
VRNA,$164.09M
LBAI,$961.26M
SSKN,$5.91M
MTSL,$5.54M
RLI,$2.83B
EDR,$2.54B
DMRC,$383.04M
BTG,$3.12B
AFSS,n/a
GLT,$1.03B
GM.WS.B,n/a
IRET,$680.61M
EMI,$25.4M
TFX,$12.82B
BDJ,$1.8B
FRC^H,n/a
RRD,$612.67M
EQC^D,n/a
HBIO,$165.68M
AGO^E,n/a
BKMU,$488.12M
DGLY,$16.4M
ASMB,$855.45M
PKD,$175.01M
COOL,$131.61M
MRBK,$122.73M
DNI,$151.16M
ONS,$30.64M
AXS^E,n/a
CSPI,$73.02M
RIBTW,n/a
HPI,$540.31M
SPG,$50.89B
CRVL,$1.01B
OTTR,$1.65B
EQFN,$35.88M
CRY,$704.74M
FMC,$12.36B
EVT,$1.75B
IFEU,$44.74M
ERYP,$408.92M
BHK,$743.77M
OHI,$5.43B
IUSV,$3.38B
SFLY,$1.75B
LOGI,$7.12B
FTSL,$1.35B
EFT,$580.02M
BBDO,$75.45B
MMI,$1.23B
AUPH,$472.37M
UNB,$242.31M
TAP,$13.74B
ASUR,$190.87M
WU,$9.72B
PSB^Y,n/a
SKLN,$8.9M
KIM^L,n/a
SEMG,$2.37B
ZNH,$12.31B
FGEN,$4.8B
WBS,$5.31B
CSOD,$2.44B
QUOT,$1.1B
SDT,$25.56M
CLPR,$180.98M
RNWK,$121.23M
AWK,$15.15B
RFTA,n/a
HTZ,$2.02B
ATHX,$221.66M
PBF,$3.65B
CCO,$1.84B
OCFC,$874.84M
BRPAW,n/a
PBSK,$68.29M
PKX,$29.69B
RBS^S,n/a
CART,$45.82M
VTWO,$1.35B
PLM,$335.27M
M,$8.35B
MDLX,n/a
ALO,$153.69M
GPAC,$160.06M
FCBC,$466.64M
CSTM,$1.38B
AINV,$1.27B
SBBC,n/a
JHB,$548.1M
RECN,$520.82M
LNCE,$4.87B
GMED,$4.54B
MTW,$1.53B
NETE,$27.3M
BURL,$8.71B
PDEX,$30.31M
IHG,$12.94B
NWL,$12.41B
GALT,$192.45M
NLY,$12.65B
TCF^D,n/a
LORL,$1.48B
SEAC,$119.65M
FCEF,$35.07M
JMPB,n/a
AUO,$4.8B
PXUS,$15.94M
BBY,$22.76B
ARCB,$995.99M
NGLS^A,n/a
QVCA,$13.59B
EBTC,$393.39M
URBN,$3.79B
LDL,$852.61M
XT,$1.74B
ARCH,$2.04B
DLBL,$4.53M
GFED,$97.72M
BUSE,$1.52B
DO,$2.62B
PCAR,$27.68B
HDB,$93.11B
STNL,n/a
GPM,$451.27M
PCG^G,n/a
ERC,$462.6M
IGA,$216.31M
AVD,$651.01M
MYF,$197.57M
DHT,$543.77M
XCRA,$551.3M
EIV,$121.86M
WVVI,$40.7M
ST,$9.77B
CIDM,$48.75M
CYRXW,n/a
NEO,$629.61M
AINC,$199.23M
WWE,$2.65B
KBLMU,n/a
WYN,$12.62B
MS^A,n/a
PPR,$762.58M
CNMD,$1.62B
SBRA,$3.24B
BBW,$142.46M
CTIB,$17.27M
OMN,$448.67M
ZIONZ,n/a
HFRO,$1.12B
STRS,$251.73M
JTPY,$38.4M
BA,$204.41B
EYES,$108.5M
KRNY,$1.11B
ALDX,$142.43M
FITB,$23.14B
GBR,$3.89M
RH,$2.21B
HOLX,$11.96B
FTXG,$1.06M
NMZ,$855.12M
EXLS,$2.1B
HNDL,n/a
BAS,$526.55M
RNDB,$92.53M
INSY,$714.84M
AIRG,$98.76M
LGC.U,n/a
ECF^A,n/a
BAC^A,n/a
QCOM,$101.45B
WPCS,$7.16M
DGLD,$16.9M
FMSA,$1.29B
OLP,$467.11M
HDNG,$239.14M
FRC^D,n/a
MTCH,$9.51B
ESEA,$20.21M
BRK.B,n/a
SAIC,$3.36B
NYCB,$6.85B
